"filename", "language", "JavaScript", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\vyten\Desktop\MusicBot\.VSCodeCounter\2021-02-20_13-25-23\details.md", "Markdown", 0, 26, 0, 0, 6, 32
"c:\Users\vyten\Desktop\MusicBot\.VSCodeCounter\2021-02-20_13-25-23\results.md", "Markdown", 0, 17, 0, 0, 7, 24
"c:\Users\vyten\Desktop\MusicBot\.VSCodeCounter\2021-02-21_13-07-36\details.md", "Markdown", 0, 28, 0, 0, 6, 34
"c:\Users\vyten\Desktop\MusicBot\.VSCodeCounter\2021-02-21_13-07-36\results.md", "Markdown", 0, 20, 0, 0, 7, 27
"c:\Users\vyten\Desktop\MusicBot\.VSCodeCounter\2021-03-05_21-53-30\details.md", "Markdown", 0, 30, 0, 0, 6, 36
"c:\Users\vyten\Desktop\MusicBot\.VSCodeCounter\2021-03-05_21-53-30\results.md", "Markdown", 0, 21, 0, 0, 7, 28
"c:\Users\vyten\Desktop\MusicBot\Commands\clear.js", "JavaScript", 15, 0, 0, 5, 4, 24
"c:\Users\vyten\Desktop\MusicBot\Commands\execute.js", "JavaScript", 52, 0, 0, 5, 9, 66
"c:\Users\vyten\Desktop\MusicBot\Commands\forceSkip.js", "JavaScript", 15, 0, 0, 5, 4, 24
"c:\Users\vyten\Desktop\MusicBot\Commands\play.js", "JavaScript", 32, 0, 0, 34, 8, 74
"c:\Users\vyten\Desktop\MusicBot\Commands\queueList.js", "JavaScript", 15, 0, 0, 5, 4, 24
"c:\Users\vyten\Desktop\MusicBot\Commands\settings.js", "JavaScript", 12, 0, 0, 0, 1, 13
"c:\Users\vyten\Desktop\MusicBot\Commands\skip.js", "JavaScript", 32, 0, 0, 5, 6, 43
"c:\Users\vyten\Desktop\MusicBot\Commands\stop.js", "JavaScript", 14, 0, 0, 5, 2, 21
"c:\Users\vyten\Desktop\MusicBot\ServerSettings\803958160502030367.json", "JSON", 0, 0, 10, 0, 0, 10
"c:\Users\vyten\Desktop\MusicBot\ServerSettings\defaultSettings.json", "JSON", 0, 0, 10, 0, 0, 10
"c:\Users\vyten\Desktop\MusicBot\ServerSettings\exampleSettings.json", "JSON", 0, 0, 20, 0, 0, 20
"c:\Users\vyten\Desktop\MusicBot\config.json", "JSON", 0, 0, 4, 0, 0, 4
"c:\Users\vyten\Desktop\MusicBot\index.js", "JavaScript", 74, 0, 0, 2, 16, 92
"c:\Users\vyten\Desktop\MusicBot\package-lock.json", "JSON", 0, 0, 3189, 0, 1, 3190
"c:\Users\vyten\Desktop\MusicBot\package.json", "JSON", 0, 0, 20, 0, 1, 21
"c:\Users\vyten\Desktop\MusicBot\queue.js", "JavaScript", 187, 0, 0, 20, 19, 226
"c:\Users\vyten\Desktop\MusicBot\userQueue.js", "JavaScript", 47, 0, 0, 0, 7, 54
"Total", "-", 495, 142, 3253, 86, 121, 4097
