"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\clear.js", "JavaScript", 0, 15, 5, 4, 24
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\execute.js", "JavaScript", 0, 60, 5, 10, 75
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\forceSkip.js", "JavaScript", 0, 17, 5, 4, 26
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\help.js", "JavaScript", 0, 12, 5, 2, 19
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\play.js", "JavaScript", 0, 38, 34, 8, 80
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\queueList.js", "JavaScript", 0, 15, 5, 4, 24
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\settings.js", "JavaScript", 0, 364, 49, 33, 446
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\skip.js", "JavaScript", 0, 37, 5, 6, 48
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\skipTo.js", "JavaScript", 0, 25, 5, 7, 37
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\stop.js", "JavaScript", 0, 14, 5, 2, 21
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\ServerSettings\803958160502030367.json", "JSON", 23, 0, 0, 0, 23
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\ServerSettings\defaultSettings.json", "JSON", 11, 0, 0, 0, 11
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\ServerSettings\exampleSettings.json", "JSON", 21, 0, 0, 0, 21
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\index.js", "JavaScript", 0, 186, 2, 15, 203
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\package-lock.json", "JSON", 3209, 0, 0, 1, 3210
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\package.json", "JSON", 21, 0, 0, 1, 22
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\queue.js", "JavaScript", 0, 200, 20, 20, 240
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\userQueue.js", "JavaScript", 0, 47, 0, 7, 54
"Total", "-", 3285, 1030, 145, 124, 4584
