"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\clear.js", "JavaScript", 15, 0, 5, 4, 24
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\execute.js", "JavaScript", 131, 0, 15, 22, 168
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\forceSkip.js", "JavaScript", 17, 0, 5, 4, 26
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\help.js", "JavaScript", 12, 0, 5, 2, 19
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\play.js", "JavaScript", 49, 0, 5, 7, 61
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\playlist.js", "JavaScript", 151, 0, 43, 16, 210
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\queueList.js", "JavaScript", 38, 0, 15, 9, 62
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\search.js", "JavaScript", 97, 0, 15, 16, 128
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\settings.js", "JavaScript", 364, 0, 49, 33, 446
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\skip.js", "JavaScript", 37, 0, 5, 6, 48
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\skipTo.js", "JavaScript", 25, 0, 5, 7, 37
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\Commands\stop.js", "JavaScript", 14, 0, 5, 2, 21
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\ServerSettings\803958160502030367.json", "JSON", 0, 23, 0, 0, 23
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\ServerSettings\defaultSettings.json", "JSON", 0, 11, 0, 0, 11
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\ServerSettings\exampleSettings.json", "JSON", 0, 21, 0, 0, 21
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\index.js", "JavaScript", 244, 0, 2, 17, 263
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\package-lock.json", "JSON", 0, 3243, 0, 1, 3244
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\package.json", "JSON", 0, 23, 0, 1, 24
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\playlists.js", "JavaScript", 162, 0, 0, 8, 170
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\playlists\803958160502030367.json", "JSON", 0, 9, 0, 0, 9
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\playlists\test.json", "JSON", 0, 14, 0, 0, 14
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\queue.js", "JavaScript", 302, 0, 22, 40, 364
"c:\Users\vyten\Desktop\Bakalaurinis\MusicBot\userQueue.js", "JavaScript", 47, 0, 0, 7, 54
"Total", "-", 1705, 3344, 196, 202, 5447
